Station;Lignes de métro;RER / Tram;Situation;Arrondissement / Localisation;Fréquentation annuelle;Dans le top 20 fréquenté
"Porte d'Orléans";"4";"Tram T3a";"Souterraine";"Paris 14e";"4175817";"Non"
"Porte Maillot";"1";"RER C, RER E, Tram T3b";"Souterraine";"Paris 16e, Paris 17e";"4138301";"Non"
"Pré-Saint-Gervais";"7bis";"Tram T3b";"Souterraine";"Paris 19e";"282626";"Non"
"Pyramides";"7, 14";"";"Souterraine";"Paris 1er";"3962698";"Non"
"Pyrénées";"11";"";"Souterraine";"Paris 19e, Paris 20e";"2288587";"Non"
"Quai de la Gare";"6";"";"Aérienne";"Paris 13e";"1735465";"Non"
"Quai de la Rapée";"5";"";"Fleur de sol";"Paris 12e";"798728";"Non"
"Quatre-Septembre";"3";"";"Souterraine";"Paris 2e";"1165004";"Non"
"Rambuteau";"11";"";"Souterraine";"Paris 3e, Paris 4e";"2127291";"Non"
"Ranelagh";"9";"";"Souterraine";"Paris 16e";"1779206";"Non"
"Raspail";"4, 6";"";"Souterraine";"Paris 14e";"1238357";"Non"
"Réaumur - Sébastopol";"3, 4";"";"Souterraine";"Paris 2e, Paris 3e";"3579544";"Non"
"Rennes";"12";"";"Souterraine";"Paris 6e";"861334";"Non"
"République";"3, 5, 8, 9, 11";"";"Souterraine";"Paris 3e, Paris 10e, Paris 11e";"11079708";"Oui"
"Reuilly - Diderot";"1, 8";"";"Souterraine";"Paris 12e";"4580091";"Non"
"Richard-Lenoir";"5";"";"Souterraine";"Paris 11e";"1544636";"Non"
"Richelieu - Drouot";"8, 9";"";"Souterraine";"Paris 2e, Paris 9e";"2994510";"Non"
"Riquet";"7";"";"Souterraine";"Paris 19e";"1588438";"Non"
"Robespierre";"9";"";"Souterraine";"Hors intra-muros (Montreuil)";"2986308";"Non"
"Romainville - Carnot";"11";"";"Souterraine";"Hors intra-muros (Romainville, Noisy-le-Sec)";"0";"Non"
"Rome";"2";"";"Souterraine";"Paris 8e, Paris 17e";"1696331";"Non"
"Rosny-Bois-Perrier";"11";"RER E";"Souterraine";"Hors intra-muros (Rosny-sous-Bois)";"0";"Non"
"Rue de la Pompe";"9";"";"Souterraine";"Paris 16e";"2449458";"Non"
"Rue des Boulets";"9";"";"Souterraine";"Paris 11e";"1832442";"Non"
